source,target,type,value
Engineering,"Mourtzis, Dimitris",grc,1.001791754
Engineering,"Lazaridis, Nikolaos K.",grc,1.004800447
Historical Studies,"Karkanas, Panagiotis",grc,1.007457434
Economics & Business,"Halkos, George",grc,1.00787915
"Agriculture, Fisheries & Forestry","Boskou, Dimitrios",grc,1.012523907
Engineering,"Rovithakis, George A.",grc,1.012675013
Clinical Medicine,"Marchalonis, John J.",usa,1.013044823
Information & Communication Technologies,"Tsatsanis, M.",usa,1.018606416
Biomedical Research,"Kramvis, Anna",zaf,1.019605624
Clinical Medicine,"Demetriou, Achilles A.",usa,1.025852288
Clinical Medicine,"Floros, Joanna",usa,1.027072282
Clinical Medicine,"Kafatos, Anthony",grc,1.032943752
Clinical Medicine,"Fotsis, Theodore",grc,1.03663992
Engineering,"Tsezos, Marios",grc,1.037210074
Physics & Astronomy,"Anglos, Demetrios",grc,1.037877891
Engineering,"Bizios, Rena",usa,1.04092625
Clinical Medicine,"Fanos, Vassilios",ita,1.041380335
Enabling & Strategic Technologies,"Tsolakis, A.",gbr,1.042992183
Engineering,"Tagaras, George",grc,1.045363413
Clinical Medicine,"Geroulakos, George",grc,1.046200999
Clinical Medicine,"Pandis, Nikolaos",che,1.047571396
Enabling & Strategic Technologies,"Aggelis, George",grc,1.049902807
Engineering,"Inglezakis, Vassilis J.",gbr,1.051591946
Engineering,"Couclelis, Helen",usa,1.055036922
Physics & Astronomy,"Natsiavas, S.",grc,1.055249607
Information & Communication Technologies,"Komodakis, Nikos",fra,1.056724974
Information & Communication Technologies,"Spanias, Andreas",usa,1.070628949
Physics & Astronomy,"Markovitsi, Dimitra",fra,1.072422036
Economics & Business,"Koufteros, Xenophon",usa,1.072825406
Psychology & Cognitive Sciences,"Kourtzi, Z.",gbr,1.073869278
Clinical Medicine,"Soldatos, Constantin R.",grc,1.077797027
Physics & Astronomy,"Dimopoulos, Konstantinos",gbr,1.079175736
Physics & Astronomy,"Baskoutas, S.",grc,1.081504813
