source,target,value
"Agriculture, Fisheries & Forestry",Entomology,12
"Agriculture, Fisheries & Forestry",Microbiology,19
"Agriculture, Fisheries & Forestry",Horticulture,39
"Agriculture, Fisheries & Forestry",Plant Biology & Botany,44
"Agriculture, Fisheries & Forestry",Forestry,105
"Agriculture, Fisheries & Forestry",Fisheries,160
"Agriculture, Fisheries & Forestry",Veterinary Sciences,222
"Agriculture, Fisheries & Forestry",Agronomy & Agriculture,247
"Agriculture, Fisheries & Forestry",Dairy & Animal Science,262
"Agriculture, Fisheries & Forestry",Food Science,465
Biology,Forestry,11
Biology,Ornithology,21
Biology,Fisheries,26
Biology,Zoology,48
Biology,Evolutionary Biology,117
Biology,Ecology,179
Biology,Entomology,215
Biology,Marine Biology & Hydrobiology,305
Biology,Plant Biology & Botany,582
Biomedical Research,Tropical Medicine,11
Biomedical Research,Plant Biology & Botany,21
Biomedical Research,Neurology & Neurosurgery,22
Biomedical Research,Immunology,28
Biomedical Research,Anatomy & Morphology,31
Biomedical Research,Biotechnology,31
Biomedical Research,Oncology & Carcinogenesis,34
Biomedical Research,Bioinformatics,36
Biomedical Research,Physiology,66
Biomedical Research,Mycology & Parasitology,74
Biomedical Research,Biophysics,102
Biomedical Research,Toxicology,130
Biomedical Research,Genetics & Heredity,190
Biomedical Research,Virology,217
Biomedical Research,Nutrition & Dietetics,251
Biomedical Research,Biochemistry & Molecular Biology,640
Biomedical Research,Developmental Biology,814
Biomedical Research,Microbiology,1065
Built Environment & Design,Architecture,12
Built Environment & Design,Design Practice & Management,42
Built Environment & Design,Urban & Regional Planning,94
Built Environment & Design,Building & Construction,285
Chemistry,Biochemistry & Molecular Biology,12
Chemistry,Food Science,13
Chemistry,Materials,14
Chemistry,Biotechnology,15
Chemistry,Chemical Engineering,15
Chemistry,Nanoscience & Nanotechnology,16
Chemistry,Pharmacology & Pharmacy,17
Chemistry,Biophysics,18
Chemistry,Chemical Physics,43
Chemistry,General Chemistry,63
Chemistry,Physical Chemistry,236
Chemistry,Medicinal & Biomolecular Chemistry,336
Chemistry,Inorganic & Nuclear Chemistry,373
Chemistry,Organic Chemistry,436
Chemistry,Polymers,466
Chemistry,Analytical Chemistry,520
Clinical Medicine,Developmental & Child Psychology,12
Clinical Medicine,Experimental Psychology,16
Clinical Medicine,Physiology,16
Clinical Medicine,Statistics & Probability,16
Clinical Medicine,Bioinformatics,17
Clinical Medicine,Food Science,18
Clinical Medicine,Virology,20
Clinical Medicine,Anatomy & Morphology,21
Clinical Medicine,Rehabilitation,24
Clinical Medicine,Medical Informatics,28
Clinical Medicine,Medicinal & Biomolecular Chemistry,31
Clinical Medicine,Environmental & Occupational Health,32
Clinical Medicine,Epidemiology,34
Clinical Medicine,Health Policy & Services,36
Clinical Medicine,Biomedical Engineering,41
Clinical Medicine,Toxicology,43
Clinical Medicine,Nursing,44
Clinical Medicine,Public Health,44
Clinical Medicine,Legal & Forensic Medicine,49
Clinical Medicine,Tropical Medicine,51
Clinical Medicine,Geriatrics,55
Clinical Medicine,Developmental Biology,63
Clinical Medicine,Genetics & Heredity,77
Clinical Medicine,Nutrition & Dietetics,88
Clinical Medicine,Biochemistry & Molecular Biology,105
Clinical Medicine,General Clinical Medicine,136
Clinical Medicine,Allergy,138
Clinical Medicine,Microbiology,167
Clinical Medicine,Pathology,190
Clinical Medicine,Anesthesiology,209
Clinical Medicine,Emergency & Critical Care Medicine,274
Clinical Medicine,Arthritis & Rheumatology,317
Clinical Medicine,Otorhinolaryngology,330
Clinical Medicine,Pediatrics,331
Clinical Medicine,Dermatology & Venereal Diseases,354
Clinical Medicine,Sport Sciences,417
Clinical Medicine,Psychiatry,524
Clinical Medicine,Pharmacology & Pharmacy,575
Clinical Medicine,General & Internal Medicine,600
Clinical Medicine,Ophthalmology & Optometry,606
Clinical Medicine,Dentistry,700
Clinical Medicine,Urology & Nephrology,769
Clinical Medicine,Respiratory System,788
Clinical Medicine,Orthopedics,803
Clinical Medicine,Gastroenterology & Hepatology,908
Clinical Medicine,Endocrinology & Metabolism,918
Clinical Medicine,Nuclear Medicine & Medical Imaging,919
Clinical Medicine,Obstetrics & Reproductive Medicine,933
Clinical Medicine,Immunology,1163
Clinical Medicine,Surgery,1265
Clinical Medicine,Neurology & Neurosurgery,1672
Clinical Medicine,Cardiovascular System & Hematology,2437
Clinical Medicine,Oncology & Carcinogenesis,2544
Communication & Textual Studies,Literary Studies,36
Communication & Textual Studies,Communication & Media Studies,61
Communication & Textual Studies,Languages & Linguistics,107
Earth & Environmental Sciences,Energy,15
Earth & Environmental Sciences,Marine Biology & Hydrobiology,17
Earth & Environmental Sciences,Geological & Geomatics Engineering,19
Earth & Environmental Sciences,Environmental Engineering,28
Earth & Environmental Sciences,Geology,47
Earth & Environmental Sciences,Paleontology,84
Earth & Environmental Sciences,Oceanography,136
Earth & Environmental Sciences,Geochemistry & Geophysics,436
Earth & Environmental Sciences,Meteorology & Atmospheric Sciences,519
Earth & Environmental Sciences,Environmental Sciences,627
Economics & Business,Development Studies,12
Economics & Business,Operations Research,12
Economics & Business,Industrial Relations,20
Economics & Business,Econometrics,21
